Normalized Wavelength,Intensity
807.2032,-0.0001224367
807.9225,-0.0001214949
808.6419,-0.0001205531
809.3612,-0.0001196113
810.0805,-0.0001186694
810.7998,-0.0001177276
811.5192,-0.0001167858
812.2385,-0.000115844
812.9578,-0.0001149022
813.6771,-0.0001139604
814.3964,-0.0001130185
815.1157,-0.0001120767
815.835,-0.0001111349
816.5544,-0.0001101931
817.2737,-0.0001092513
817.993,-0.0001083094
818.7123,-0.0001073676
819.4316,-0.0001064258
820.1509,-0.000105484
820.8702,-0.0001045422
821.5895,-0.0001036004
822.3089,-0.0001026585
823.0282,-0.0001017167
823.7475,-0.0001007749
824.4668,-0.00009983308
825.1862,-0.00009889123
825.9055,-0.00009794944
826.6248,-0.00009700759
827.3441,-0.00009606579
828.0634,-0.00009512394
828.7827,-0.00009418215
829.502,-0.00009324031
830.2213,-0.00009229851
830.9407,-0.00009135666
831.66,-0.00009041487
832.3793,-0.00008947302
833.0986,-0.00008853123
833.8179,-0.00008758937
834.5372,-0.00008664758
835.2558,0.0008504636
835.9752,0.0008514054
836.6945,0.0008523472
837.4138,0.000853289
838.1331,0.0008542308
838.8524,0.0008551726
839.5717,0.0008561145
840.291,0.0008570563
841.0104,0.0008579982
841.7297,0.00085894
842.449,0.0008598818
843.1683,0.0008608236
843.8876,0.0008617654
844.6069,0.0008627072
845.3262,0.000863649
846.0448,0.00180076
846.7642,0.001801702
847.4835,0.001802644
848.2035,0.0008674163
848.9228,0.0008683581
849.6422,0.0008692999
850.3607,0.001806411
851.08,0.001807353
851.7994,0.001808295
852.5187,0.001809237
853.2387,0.0008740091
853.958,0.0008749508
854.6773,0.0008758927
855.3967,0.0008768345
856.1152,0.001813946
856.8345,0.001814888
857.5539,0.001815829
858.2732,0.001816771
858.9925,0.001817713
859.7118,0.001818655
860.4312,0.001819597
861.1505,0.001820538
861.8698,0.00182148
862.5891,0.001822422
863.3084,0.001823364
864.0277,0.001824306
864.747,0.001825248
865.4663,0.001826189
866.1857,0.001827131
866.905,0.001828073
867.6243,0.001829015
868.3436,0.001829957
869.0622,0.002767068
869.7808,0.003704179
870.5008,0.002768951
871.2202,0.002769893
871.9395,0.002770835
872.6588,0.002771777
873.3774,0.003708888
874.0967,0.00370983
874.816,0.003710772
875.536,0.002775544
876.2546,0.003712655
876.9747,0.002777428
877.6932,0.003714539
878.4125,0.003715481
879.1319,0.003716422
879.8505,0.004653533
880.5698,0.004654475
881.2898,0.003719248
882.0092,0.00372019
882.7277,0.004657301
883.4464,0.005594412
884.1656,0.005595354
884.8849,0.005596296
885.605,0.004661068
886.3243,0.00466201
887.0429,0.005599121
887.7622,0.005600063
888.4815,0.005601005
889.2009,0.005601947
889.9202,0.005602889
890.6395,0.00560383
891.3588,0.005604772
892.0781,0.005605714
892.7967,0.006542825
893.516,0.006543767
894.2354,0.006544709
