0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
448.0299988,691.3043213,448.0299988,690.7833252,448.0299988,608.1739502,448.0299988,517.5147095,448.0299988,351.9663391,448.0299988,177.5803223,448.0299988,63.17917252,448.0299988,24.5163002,448.0299988,9.24591732,448.0299988,0.122309193,
448.9299927,699.3206787,448.9299927,704.1681519,448.9299927,621.0473022,448.9299927,530.3522339,448.9299927,363.0319214,448.9299927,180.2225037,448.9299927,66.54457092,448.9299927,27.97202682,448.9299927,9.646302223,448.9299927,-0.6153845787,
450,724.7460327,450,736.9383545,450,642.8308716,450,535.5927734,450,368.1737366,450,188.4111176,450,68.26863861,450,28.28557205,450,10.20798779,450,1.095556855,
451.0599976,751.7713623,451.0599976,744.3545532,451.0599976,664.4554443,451.0599976,561.9485474,451.0599976,383.2990112,451.0599976,190.9709778,451.0599976,71.94504547,451.0599976,28.45073891,451.0599976,10.77612305,451.0599976,0.3717472255,
451.9599915,765.22229,451.9599915,774.1707764,451.9599915,668.9759521,451.9599915,563.8233643,451.9599915,395.1134338,451.9599915,196.0072632,451.9599915,75.04488373,451.9599915,30.49680138,451.9599915,10.60838413,451.9599915,1.46609652,
453.0299988,778.8753052,453.0299988,788.5770264,453.0299988,690.8328247,453.0299988,576.9230957,453.0299988,394.8989563,453.0299988,198.9434509,453.0299988,75.86288452,453.0299988,29.63789749,453.0299988,11.29234695,453.0299988,0.9727626443,
453.9299927,793.5979004,453.9299927,794.5708618,453.9299927,706.27771,453.9299927,599.6590576,453.9299927,412.6084595,453.9299927,202.9994049,453.9299927,75.13980103,453.9299927,31.51364708,453.9299927,11.77470303,453.9299927,0.7794232368,
455,813.109314,455,831.2324219,455,715.979126,455,614.3847656,455,417.5263977,455,214.6240845,455,76.83769226,455,31.41041565,455,11.4869175,455,0.3825066984,
456.0599976,821.1467285,456.0599976,843.0452271,456.0599976,719.2855835,456.0599976,613.2857056,456.0599976,425.2647095,456.0599976,216.2804413,456.0599976,80.35497284,456.0599976,30.93552017,456.0599976,11.4243145,456.0599976,0.5393742919,
456.9599915,854.4379883,456.9599915,851.8563232,456.9599915,737.3536377,456.9599915,626.597229,456.9599915,435.315094,456.9599915,216.0051117,456.9599915,81.50896454,456.9599915,32.08156967,456.9599915,11.72318077,456.9599915,1.08708775,
458.0299988,863.5048828,458.0299988,867.0007935,458.0299988,740.7267456,458.0299988,635.8002319,458.0299988,439.9607544,458.0299988,221.0140686,458.0299988,81.36257172,458.0299988,32.56043243,458.0299988,11.09604263,458.0299988,0.6428387761,
458.9299927,869.7030029,458.9299927,871.8583984,458.9299927,767.2780151,458.9299927,645.8555908,458.9299927,450.7466125,458.9299927,228.7589417,458.9299927,85.9458847,458.9299927,35.04970551,458.9299927,13.35400105,458.9299927,1.100782752,
460,884.7937012,460,890.2579346,460,770.0145874,460,660.151123,460,449.5029907,460,230.0640564,460,85.89181519,460,33.84499359,460,13.15154457,460,1.494395971,
461.0599976,885.1707153,461.0599976,902.4096069,461.0599976,790.5004272,461.0599976,657.9970703,461.0599976,459.7218933,461.0599976,231.3007507,461.0599976,87.7723999,461.0599976,34.26255798,461.0599976,13.46011353,461.0599976,1.87687695,
461.9599915,894.8538208,461.9599915,905.00354,461.9599915,784.3359985,461.9599915,667.9117432,461.9599915,469.3422546,461.9599915,234.5354767,461.9599915,87.45201874,461.9599915,35.90258408,461.9599915,12.26993847,461.9599915,1.698410749,
463.0299988,900.7157593,463.0299988,915.1637573,463.0299988,795.3961182,463.0299988,673.9533081,463.0299988,473.1062012,463.0299988,237.9102936,463.0299988,88.87316895,463.0299988,36.19047546,463.0299988,13.0718956,463.0299988,1.021319985,
463.9299927,907.234314,463.9299927,925.1592407,463.9299927,806.6777344,463.9299927,679.5087891,463.9299927,469.35672,463.9299927,243.083252,463.9299927,92.35591888,463.9299927,36.91529846,463.9299927,14.47661495,463.9299927,1.565133691,
465,917.8619385,465,925.4421997,465,811.1984253,465,697.5388184,465,478.5466309,465,239.6251678,465,93.03736115,465,35.64584351,465,13.92654705,465,1.531393647,
466.0599976,919.222229,466.0599976,920.8607178,466.0599976,829.1833496,466.0599976,683.0601196,466.0599976,474.1885376,466.0599976,241.3393555,466.0599976,92.25598145,466.0599976,37.83055878,466.0599976,13.56305027,466.0599976,0.6094587445,
466.9599915,917.1747437,466.9599915,927.0858765,466.9599915,822.7444458,466.9599915,693.993103,466.9599915,475.4060059,466.9599915,245.7596436,466.9599915,93.61701965,466.9599915,39.59912109,466.9599915,14.32360744,466.9599915,1.089852333,
468.0299988,920.3110962,468.0299988,929.1601563,468.0299988,813.137085,468.0299988,694.9974976,468.0299988,473.6386108,468.0299988,247.537674,468.0299988,93.84304047,468.0299988,38.2061882,468.0299988,14.90349388,468.0299988,1.723289013,
468.9299927,926.6364746,468.9299927,929.1621704,468.9299927,813.7078247,468.9299927,692.6989136,468.9299927,479.2770996,468.9299927,240.8395996,468.9299927,90.29065704,468.9299927,39.15151596,468.9299927,14.59762955,468.9299927,1.609109998,
470,920.0334473,470,932.7293091,470,823.7869873,470,701.09375,470,485.2888184,470,244.5638885,470,94.44644928,470,37.56476593,470,14.74997044,470,0.6153845787,
471.0599976,924.2776489,471.0599976,921.6757813,471.0599976,819.6620483,471.0599976,687.7149658,471.0599976,490.5190735,471.0599976,241.8772583,471.0599976,92.79489136,471.0599976,37.69889832,471.0599976,14.23444939,471.0599976,0.628772676,
471.9599915,927.5737915,471.9599915,929.0048218,471.9599915,814.651062,471.9599915,691.3793335,471.9599915,479.9949341,471.9599915,248.7738953,471.9599915,93.47930908,471.9599915,38.90562439,471.9599915,12.50781727,471.9599915,2.331288338,
473.0299988,924.2441406,473.0299988,922.1571655,473.0299988,827.9361572,473.0299988,688.7597656,473.0299988,472.8426819,473.0299988,240.6456299,473.0299988,94.62519836,473.0299988,38.57855606,473.0299988,14.95958519,473.0299988,2.178385735,
473.9299927,916.1755981,473.9299927,912.3936768,473.9299927,818.7736816,473.9299927,689.1288452,473.9299927,470.4264221,473.9299927,243.2659912,473.9299927,94.5157547,473.9299927,39.31974411,473.9299927,15.03665924,473.9299927,1.925792813,
475,911.9990234,475,913.074707,475,815.7056885,475,693.3884277,475,468.103241,475,243.6163788,475,92.88256073,475,40.00496674,475,14.01637268,475,1.435578465,
476.0599976,909.135498,476.0599976,898.3540649,476.0599976,804.5498047,476.0599976,677.9335938,476.0599976,470.9606628,476.0599976,238.5422974,476.0599976,94.76644897,476.0599976,38.79941177,476.0599976,14.61802387,476.0599976,0.4948045313,
476.9599915,913.7686768,476.9599915,903.1016846,476.9599915,800,476.9599915,677.3049927,476.9599915,468.7463684,476.9599915,242.3286896,476.9599915,93.38852692,476.9599915,37.9853363,476.9599915,14.80384922,476.9599915,2.11838007,
