Distance_(pixels),Gray_Value
1385,146.3695
1386,146.5626
1387,147.6655
1388,148.5001
1389,149.8729
1390,150.3272
1391,150.5613
1392,150.7990
1393,151.3266
1394,152.2832
1395,152.5124
1396,151.1240
1397,150.6982
1398,151.1922
1399,152.0538
1400,152.6244
1401,152.8100
1402,152.6553
1403,152.6667
1404,152.3678
1405,152.6895
1406,153.3145
1407,154.2442
1408,154.9142
1409,155.4552
1410,155.0065
1411,154.1116
1412,154.2138
1413,154.5348
1414,154.5696
1415,154.6643
1416,154.9692
1417,153.6869
1418,153.1935
1419,152.9231
1420,152.6667
1421,152.6667
1422,152.5837
1423,152.3996
1424,152.5247
1425,151.5038
1426,149.5598
1427,147.6921
1428,148.6641
1429,151.3118
1430,150.9175
1431,150.6478
1432,151.1185
1433,151.2924
1434,151.4355
1435,149.3471
1436,148.9809
1437,149.4282
1438,151.1721
1439,151.3322
1440,150.7616
1441,150.6955
1442,151.1575
1443,152.1532
1444,153.6226
1445,155.0758
1446,154.1855
1447,151.8010
1448,150.5143
1449,150.6543
1450,152.0075
1451,153.1256
1452,154.0272
1453,153.4383
1454,152.3929
1455,151.7813
1456,152.8243
1457,154.1346
1458,154.6172
1459,154.6667
1460,154.5657
1461,153.5937
1462,152.6271
1463,151.7995
1464,153.3488
1465,154.0738
1466,154.4416
1467,153.8958
1468,153.9284
1469,153.9782
1470,155.1002
1471,156.1062
1472,153.2212
1473,153.4685
1474,153.6395
1475,154.0370
1476,153.4611
1477,152.3112
1478,152.0785
1479,152.9021
1480,153.4889
1481,152.6349
1482,151.3333
1483,151.0552
1484,150.7620
1485,151.7340
1486,151.9607
1487,151.0774
1488,150.3561
1489,150.3944
1490,151.1565
1491,153.0017
1492,154.2660
1493,154.1568
1494,153.1848
1495,152.2874
1496,152.1868
1497,152.1631
1498,152.0226
1499,152.3465
1500,154.0898
1501,155.2076
1502,154.7925
1503,153.8905
1504,152.7353
1505,151.6191
1506,154.1359
1507,153.5891
1508,152.2439
1509,152.2356
1510,154.6531
1511,156.7996
1512,156.6890
1513,155.1008
1514,152.0375
1515,151.5125
1516,153.1962
1517,155.1203
1518,156.3271
1519,155.5266
1520,153.7464
1521,152.1835
1522,152.5190
1523,154.3957
1524,154.8027
1525,154.4952
1526,153.3306
1527,152.3333
1528,152.4592
1529,152.8401
1530,153.5218
1531,154.0495
1532,153.0618
1533,153.3333
1534,153.2839
1535,151.3333
1536,152.5398
1537,153.3036
1538,153.2319
1539,154.1850
1540,154.3091
1541,154.8265
1542,154.1758
1543,153.4848
1544,153.4441
1545,154.1499
1546,153.5311
1547,153.7858
1548,154.9381
1549,155.4855
1550,155.2975
1551,155.1070
1552,155.8571
1553,156.3333
1554,156.0789
1555,156.1600
1556,156.3333
1557,156.3946
1558,157.2987
1559,158.5393
1560,158.9379
1561,157.6211
1562,156.0011
1563,156.3488
1564,158.9359
1565,159.3276
1566,158.9314
1567,157.7761
1568,156.8907
1569,157.3321
1570,157.5182
1571,156.3456
1572,155.3698
1573,155.2511
1574,156.2544
1575,156.8776
1576,156.3904
1577,155.9632
1578,155.4032
1579,152.9151
1580,151.7516
1581,151.3944
1582,150.7111
1583,150.6186
1584,150.9922
1585,150.8058
1586,150.3780
1587,151.4200
1588,153.8793
1589,154.8460
1590,154.3333
1591,154.7070
1592,154.8168
1593,153.9790
1594,153.7869
1595,154.2388
1596,153.5189
1597,153.0558
1598,153.7933
1599,154.3333
1600,154.3333
1601,154.3333
1602,154.3686
1603,154.3855
1604,154.2968
1605,153.9055
1606,153.0899
1607,152.2743
1608,153.5294
1609,154.6413
1610,154.3929
1611,152.7445
1612,151.4995
1613,152.1483
1614,151.5464
1615,151.1529
1616,152.0586
1617,153.4988
1618,154.3111
1619,154.1395
1620,153.6493
1621,153.9691
1622,154.4237
1623,153.9636
1624,154.1735
1625,155.7878
1626,156.5579
1627,155.8204
1628,155.1575
1629,155.0623
1630,155.5718
1631,155.0012
1632,154.4548
1633,153.6788
1634,153.4484
1635,153.4126
1636,154.3207
1637,155.7337
1638,155.7813
1639,156.6667
1640,156.6080
1641,155.6624
1642,155.6693
1643,156.6413
1644,155.7201
1645,154.3771
1646,155.5572
1647,155.6667
1648,154.8321
1649,153.8602
1650,154.4452
1651,154.6987
1652,153.1852
1653,151.0489
1654,151.3738
1655,152.0437
1656,153.0930
1657,154.2464
1658,154.5646
1659,154.1788
1660,152.8534
1661,150.8364
1662,149.3116
1663,148.2328
1664,146.8363
1665,146.1634
1666,147.0140
1667,149.9479
1668,151.4234
1669,150.6838
1670,150.7717
1671,152.9619
1672,154.0657
1673,153.8784
1674,153.8002
1675,153.7091
1676,153.6017
1677,153.6667
1678,153.6667
1679,154.8531
1680,153.7290
1681,153.8860
1682,152.8407
1683,154.1272
1684,153.8310
1685,155.0130
1686,154.9722
1687,154.7611
1688,155.6303
1689,155.1967
1690,153.5637
1691,152.6306
1692,152.6733
1693,154.1951
1694,154.8417
1695,154.7472
1696,154.6282
1697,153.5446
1698,153.2280
1699,153.4625
1700,153.6971
1701,153.9555
1702,154.0000
1703,153.8239
1704,153.6352
1705,153.9007
1706,153.7079
1707,153.3019
1708,154.4492
1709,154.8320
1710,154.9106
1711,154.4840
1712,154.0635
1713,155.0035
1714,155.0193
1715,155.0000
1716,155.0000
1717,155.0000
1718,154.1975
1719,153.2839
1720,154.2052
1721,155.1134
1722,156.4749
1723,156.9696
1724,155.4803
1725,154.4337
1726,154.0736
1727,153.6595
1728,154.1529
1729,154.1012
1730,153.1292
1731,153.1595
1732,153.7041
1733,153.9746
1734,154.8684
1735,155.3273
1736,155.5082
1737,155.5720
1738,154.6667
1739,154.6667
1740,154.4295
1741,153.5925
1742,152.8523
1743,153.4484
1744,153.5238
1745,153.1226
1746,154.7126
1747,154.8856
1748,153.6760
1749,152.8608
1750,154.0673
1751,154.6493
1752,152.9233
1753,153.4464
1754,154.1703
1755,154.5696
1756,154.3926
1757,154.7318
1758,154.7407
1759,153.9416
1760,153.5055
1761,154.3357
1762,154.6667
1763,153.7301
1764,152.9600
1765,153.1910
1766,153.7597
1767,153.8715
1768,153.1937
1769,153.7996
1770,154.8024
1771,154.2382
1772,154.7386
1773,155.7879
1774,155.9734
1775,155.3495
1776,155.0945
1777,154.2876
1778,152.5018
1779,151.8914
1780,152.1999
1781,152.7755
1782,153.7417
1783,154.6139
1784,153.6568
1785,153.0368
1786,152.8002
1787,153.6134
1788,153.0602
1789,152.7324
1790,151.9774
1791,151.7058
1792,152.7409
1793,153.5674
1794,153.5990
1795,152.2270
1796,152.4871
1797,153.6931
1798,155.2510
1799,156.9605
1800,157.5168
1801,156.1852
1802,154.5273
1803,153.3207
1804,153.2191
1805,154.4256
1806,154.9962
1807,154.2862
1808,153.3403
1809,152.8427
1810,152.6667
1811,152.9351
1812,153.6839
1813,153.6108
1814,152.8510
1815,153.8750
1816,154.7644
1817,154.2061
1818,152.2953
1819,152.1051
1820,152.8563
1821,154.5692
1822,155.9806
1823,155.0716
1824,152.7230
1825,151.6781
1826,152.1242
1827,152.6602
1828,153.4588
1829,153.6667
1830,152.8815
1831,153.3748
1832,153.9015
1833,153.7052
1834,154.2135
1835,155.1180
1836,155.6667
1837,155.5734
1838,155.2482
1839,154.9189
1840,155.0174
1841,154.8700
1842,153.8667
1843,153.6180
1844,155.3696
1845,158.2612
1846,157.8206
1847,156.0973
1848,156.0120
1849,155.1775
1850,154.8208
1851,155.4452
1852,154.7778
1853,153.0483
1854,152.7305
1855,153.6178
1856,153.3777
1857,152.6764
1858,152.6667
1859,152.6787
1860,153.3871
1861,153.2106
